model,model_label,split,probe_subj_accuracy,probe_subj_f1,probe_subj_auroc,probe_sent_accuracy,probe_sent_f1,probe_sent_auroc,precision_at_5,cluster_ari,cluster_nmi,sign_flip_rate
B1,Static Transformer,test,0.8742,0.8057,0.9365,0.882,0.8178,0.9438,0.8163,0.0283,0.0227,
B1,Static Transformer,hard_verb,0.507,0.369,0.3649,0.493,0.3699,0.402,0.7647,0.0049,0.0054,
B1,Static Transformer,hard_both,0.2899,0.0,0.1006,0.2029,0.0,0.0619,0.6812,0.0098,0.0093,
B1,Static Transformer,ambiguous_test,0.5756,0.3835,0.5616,0.5644,0.3809,0.5512,0.6356,0.0321,0.0227,
B1,Static Transformer,continuation,0.7103,0.6823,0.7757,0.7179,0.6957,0.7831,0.7453,0.0415,0.0322,
B1,Static Transformer,interpolation,0.7588,0.6735,0.7987,0.7538,0.6689,0.7897,0.7055,0.0737,0.0512,
B1,Static Transformer,contrastive,,,,,,,,,,0.0
B2a,Additive Time-Conditioned Transformer,test,0.882,0.8228,0.955,0.8794,0.8203,0.9569,0.8236,-0.0003,0.0006,
B2a,Additive Time-Conditioned Transformer,hard_verb,0.4884,0.382,0.2879,0.4744,0.3757,0.2827,0.9005,-0.0024,0.0006,
B2a,Additive Time-Conditioned Transformer,hard_both,0.1594,0.0,0.059,0.2464,0.0,0.0783,0.8029,0.0,0.0035,
B2a,Additive Time-Conditioned Transformer,ambiguous_test,0.5716,0.416,0.5589,0.5722,0.4145,0.5572,0.6558,-0.0001,0.0,
B2a,Additive Time-Conditioned Transformer,continuation,0.7368,0.7497,0.7721,0.7355,0.7458,0.7681,0.6816,-0.0009,0.0003,
B2a,Additive Time-Conditioned Transformer,interpolation,0.7613,0.6906,0.7787,0.7462,0.6773,0.7775,0.6864,-0.0021,0.0,
B2a,Additive Time-Conditioned Transformer,contrastive,,,,,,,,,,0.5862
B2b,Token-Time Transformer,test,0.9043,0.8571,0.9584,0.8938,0.8439,0.9606,0.8131,0.0013,0.0031,
B2b,Token-Time Transformer,hard_verb,0.5116,0.4262,0.3564,0.5302,0.4481,0.358,0.9023,0.0069,0.0073,
B2b,Token-Time Transformer,hard_both,0.2609,0.1053,0.0928,0.1884,0.0345,0.0242,0.8203,0.0224,0.0231,
B2b,Token-Time Transformer,ambiguous_test,0.5764,0.431,0.5662,0.5714,0.4296,0.5668,0.6802,-0.0003,0.0005,
B2b,Token-Time Transformer,continuation,0.7645,0.7706,0.7697,0.7531,0.7586,0.7781,0.6879,0.0004,0.001,
B2b,Token-Time Transformer,interpolation,0.7814,0.722,0.772,0.7688,0.7051,0.7799,0.7025,0.0068,0.0074,
B2b,Token-Time Transformer,contrastive,,,,,,,,,,0.3793
B3,Memory-Augmented Timeformer,test,0.8952,0.8479,0.9525,0.8873,0.8346,0.9643,0.8215,-0.0033,0.0057,
B3,Memory-Augmented Timeformer,hard_verb,0.493,0.3626,0.4004,0.4884,0.375,0.322,0.8865,-0.0062,0.002,
B3,Memory-Augmented Timeformer,hard_both,0.2609,0.0727,0.0716,0.2029,0.0,0.0116,0.7855,-0.003,0.0016,
B3,Memory-Augmented Timeformer,ambiguous_test,0.57,0.4248,0.5652,0.5616,0.4155,0.5514,0.6922,-0.003,0.0042,
B3,Memory-Augmented Timeformer,continuation,0.7695,0.776,0.7859,0.7695,0.7766,0.7811,0.7088,0.0232,0.0169,
B3,Memory-Augmented Timeformer,interpolation,0.7563,0.6959,0.7773,0.7714,0.7147,0.7838,0.7065,-0.0038,0.0136,
B3,Memory-Augmented Timeformer,contrastive,,,,,,,,,,0.3448
