run_id,model,model_label,scope,metric,value,n_occurrences,n_subjects
20260528_004,Joint,Token-Time,subject_mean,silhouette_cosine,0.08698077485896646,90,10
20260528_004,Joint,Token-Time,subject_mean,centroid_cosine_distance,0.08719909191131592,90,10
20260528_004,Joint,Token-Time,subject_mean,semantic_axis_auroc,0.7944444444444445,90,10
20260528_004,Timeformer,Memory-Augmented,pooled,silhouette_cosine,0.0380033440887928,90,10
20260528_004,Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,0.08782094717025757,90,10
20260528_004,Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,0.7614087301587302,90,10
20260528_004,Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,-0.059636694146320224,90,10
20260528_004,Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,0.151857453584671,90,10
20260528_004,Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,0.7722222222222223,90,10
20260528_005,Static,Standard,pooled,silhouette_cosine,0.007343047298491001,90,10
20260528_005,Static,Standard,pooled,centroid_cosine_distance,0.01542121171951294,90,10
20260528_005,Static,Standard,pooled,semantic_axis_auroc,0.7046130952380953,90,10
20260528_005,Static,Standard,subject_mean,silhouette_cosine,0.09430935587733984,90,10
20260528_005,Static,Standard,subject_mean,centroid_cosine_distance,0.036520260572433474,90,10
20260528_005,Static,Standard,subject_mean,semantic_axis_auroc,0.7138888888888888,90,10
20260528_005,Additive,Additive,pooled,silhouette_cosine,0.05149513855576515,90,10
20260528_005,Additive,Additive,pooled,centroid_cosine_distance,0.14976435899734497,90,10
20260528_005,Additive,Additive,pooled,semantic_axis_auroc,0.8050595238095237,90,10
20260528_005,Additive,Additive,subject_mean,silhouette_cosine,-0.03662645006552338,90,10
20260528_005,Additive,Additive,subject_mean,centroid_cosine_distance,0.22991906404495238,90,10
20260528_005,Additive,Additive,subject_mean,semantic_axis_auroc,0.7944444444444445,90,10
20260528_005,Joint,Token-Time,pooled,silhouette_cosine,-0.005018357187509537,90,10
20260528_005,Joint,Token-Time,pooled,centroid_cosine_distance,0.029355227947235107,90,10
20260528_005,Joint,Token-Time,pooled,semantic_axis_auroc,0.675595238095238,90,10
20260528_005,Joint,Token-Time,subject_mean,silhouette_cosine,-0.07857000345829875,90,10
20260528_005,Joint,Token-Time,subject_mean,centroid_cosine_distance,0.10687258839607239,90,10
20260528_005,Joint,Token-Time,subject_mean,semantic_axis_auroc,0.7277777777777777,90,10
20260528_005,Timeformer,Memory-Augmented,pooled,silhouette_cosine,0.010412062518298626,90,10
20260528_005,Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,0.0405735969543457,90,10
20260528_005,Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,0.7078373015873016,90,10
20260528_005,Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,-0.0684075515717268,90,10
20260528_005,Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,0.16092328429222108,90,10
20260528_005,Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,0.788888888888889,90,10
20260528_006,Static,Standard,pooled,silhouette_cosine,0.034312546253204346,90,10
20260528_006,Static,Standard,pooled,centroid_cosine_distance,0.04530435800552368,90,10
20260528_006,Static,Standard,pooled,semantic_axis_auroc,0.7532242063492063,90,10
20260528_006,Static,Standard,subject_mean,silhouette_cosine,0.005041759274899959,90,10
20260528_006,Static,Standard,subject_mean,centroid_cosine_distance,0.10259320735931396,90,10
20260528_006,Static,Standard,subject_mean,semantic_axis_auroc,0.8138888888888889,90,10
20260528_006,Additive,Additive,pooled,silhouette_cosine,0.03875581920146942,90,10
20260528_006,Additive,Additive,pooled,centroid_cosine_distance,0.12801766395568848,90,10
20260528_006,Additive,Additive,pooled,semantic_axis_auroc,0.7346230158730159,90,10
20260528_006,Additive,Additive,subject_mean,silhouette_cosine,-0.055734935030341146,90,10
20260528_006,Additive,Additive,subject_mean,centroid_cosine_distance,0.194278222322464,90,10
20260528_006,Additive,Additive,subject_mean,semantic_axis_auroc,0.7222222222222222,90,10
20260528_006,Joint,Token-Time,pooled,silhouette_cosine,0.0589909590780735,90,10
20260528_006,Joint,Token-Time,pooled,centroid_cosine_distance,0.1731281876564026,90,10
20260528_006,Joint,Token-Time,pooled,semantic_axis_auroc,0.7748015873015872,90,10
20260528_006,Joint,Token-Time,subject_mean,silhouette_cosine,-0.02618979960680008,90,10
20260528_006,Joint,Token-Time,subject_mean,centroid_cosine_distance,0.20320906937122346,90,10
20260528_006,Joint,Token-Time,subject_mean,semantic_axis_auroc,0.788888888888889,90,10
20260528_006,Timeformer,Memory-Augmented,pooled,silhouette_cosine,0.04083791747689247,90,10
20260528_006,Timeformer,Memory-Augmented,pooled,centroid_cosine_distance,0.09936380386352539,90,10
20260528_006,Timeformer,Memory-Augmented,pooled,semantic_axis_auroc,0.6324404761904762,90,10
20260528_006,Timeformer,Memory-Augmented,subject_mean,silhouette_cosine,-0.03567946613766253,90,10
20260528_006,Timeformer,Memory-Augmented,subject_mean,centroid_cosine_distance,0.14354982376098632,90,10
20260528_006,Timeformer,Memory-Augmented,subject_mean,semantic_axis_auroc,0.7166666666666666,90,10
20260528_007,Static,Standard,pooled,silhouette_cosine,0.005910064559429884,90,10
20260528_007,Static,Standard,pooled,centroid_cosine_distance,0.034197211265563965,90,10
20260528_007,Static,Standard,pooled,semantic_axis_auroc,0.6723710317460317,90,10
20260528_007,Static,Standard,subject_mean,silhouette_cosine,0.05707287197001278,90,10
20260528_007,Static,Standard,subject_mean,centroid_cosine_distance,0.038102805614471436,90,10
20260528_007,Static,Standard,subject_mean,semantic_axis_auroc,0.8444444444444444,90,10
20260528_007,Additive,Additive,pooled,silhouette_cosine,0.03388173133134842,90,10
20260528_007,Additive,Additive,pooled,centroid_cosine_distance,0.102813720703125,90,10
20260528_007,Additive,Additive,pooled,semantic_axis_auroc,0.7901785714285714,90,10
20260528_007,Additive,Additive,subject_mean,silhouette_cosine,-0.06363551784306765,90,10
20260528_007,Additive,Additive,subject_mean,centroid_cosine_distance,0.19716174602508546,90,10
20260528_007,Additive,Additive,subject_mean,semantic_axis_auroc,0.8555555555555555,90,10
20260528_007,Joint,Token-Time,pooled,silhouette_cosine,0.04740732163190842,90,10
20260528_007,Joint,Token-Time,pooled,centroid_cosine_distance,0.13606750965118408,90,10
20260528_007,Joint,Token-Time,pooled,semantic_axis_auroc,0.7743055555555556,90,10
20260528_007,Joint,Token-Time,subject_mean,silhouette_cosine,-0.04943495476618409,90,10
