run_id,layer,head,metric,value
20260528_002,-1,-1,baseline_cka,0.8018503278883814
20260528_002,0,0,cka_ablated,0.6553589782536693
20260528_002,0,0,cka_delta_vs_baseline,-0.1464913496347121
20260528_002,0,1,cka_ablated,0.7579357536588154
20260528_002,0,1,cka_delta_vs_baseline,-0.04391457422956602
20260528_002,0,2,cka_ablated,0.8413595419972641
20260528_002,0,2,cka_delta_vs_baseline,0.03950921410888275
20260528_002,0,3,cka_ablated,0.831604563485137
20260528_002,0,3,cka_delta_vs_baseline,0.029754235596755607
20260528_002,1,0,cka_ablated,0.7679567664641241
20260528_002,1,0,cka_delta_vs_baseline,-0.03389356142425726
20260528_002,1,1,cka_ablated,0.76902687278376
20260528_002,1,1,cka_delta_vs_baseline,-0.03282345510462137
20260528_002,1,2,cka_ablated,0.7919081385967239
20260528_002,1,2,cka_delta_vs_baseline,-0.009942189291657466
20260528_002,1,3,cka_ablated,0.8089930388418101
20260528_002,1,3,cka_delta_vs_baseline,0.007142710953428666
20260528_003,-1,-1,baseline_cka,0.8047367193436238
20260528_003,0,0,cka_ablated,0.7799482458825706
20260528_003,0,0,cka_delta_vs_baseline,-0.024788473461053173
20260528_003,0,1,cka_ablated,0.8094654746033666
20260528_003,0,1,cka_delta_vs_baseline,0.004728755259742812
20260528_003,0,2,cka_ablated,0.8208638941361145
20260528_003,0,2,cka_delta_vs_baseline,0.016127174792490706
20260528_003,0,3,cka_ablated,0.7276600957869794
20260528_003,0,3,cka_delta_vs_baseline,-0.07707662355664435
20260528_003,1,0,cka_ablated,0.7938244275013453
20260528_003,1,0,cka_delta_vs_baseline,-0.010912291842278488
20260528_003,1,1,cka_ablated,0.7975982558919841
20260528_003,1,1,cka_delta_vs_baseline,-0.007138463451639709
20260528_003,1,2,cka_ablated,0.8041871736272213
20260528_003,1,2,cka_delta_vs_baseline,-0.000549545716402533
20260528_003,1,3,cka_ablated,0.8006240383720272
20260528_003,1,3,cka_delta_vs_baseline,-0.004112680971596561
20260528_004,-1,-1,baseline_cka,0.4953757731740728
20260528_004,0,0,cka_ablated,0.4491104832644469
20260528_004,0,0,cka_delta_vs_baseline,-0.04626528990962586
20260528_004,0,1,cka_ablated,0.4660935190085978
20260528_004,0,1,cka_delta_vs_baseline,-0.029282254165474975
20260528_004,0,2,cka_ablated,0.5113593416714126
20260528_004,0,2,cka_delta_vs_baseline,0.01598356849733984
20260528_004,0,3,cka_ablated,0.4618513170814866
20260528_004,0,3,cka_delta_vs_baseline,-0.0335244560925862
20260528_004,1,0,cka_ablated,0.46465252590663647
20260528_004,1,0,cka_delta_vs_baseline,-0.030723247267436304
20260528_004,1,1,cka_ablated,0.4969410908097605
20260528_004,1,1,cka_delta_vs_baseline,0.0015653176356877352
20260528_004,1,2,cka_ablated,0.4862907170371218
20260528_004,1,2,cka_delta_vs_baseline,-0.009085056136950986
20260528_004,1,3,cka_ablated,0.47953083098756716
20260528_004,1,3,cka_delta_vs_baseline,-0.015844942186505617
20260528_005,-1,-1,baseline_cka,0.8856634617064545
20260528_005,0,0,cka_ablated,0.873596491218533
20260528_005,0,0,cka_delta_vs_baseline,-0.012066970487921491
20260528_005,0,1,cka_ablated,0.7976184612519979
20260528_005,0,1,cka_delta_vs_baseline,-0.08804500045445662
20260528_005,0,2,cka_ablated,0.9200781714589793
20260528_005,0,2,cka_delta_vs_baseline,0.03441470975252481
20260528_005,0,3,cka_ablated,0.8830402263631495
20260528_005,0,3,cka_delta_vs_baseline,-0.002623235343304997
20260528_005,1,0,cka_ablated,0.8747402759934305
20260528_005,1,0,cka_delta_vs_baseline,-0.010923185713023975
20260528_005,1,1,cka_ablated,0.877763574478146
20260528_005,1,1,cka_delta_vs_baseline,-0.007899887228308478
20260528_005,1,2,cka_ablated,0.8765115233408828
20260528_005,1,2,cka_delta_vs_baseline,-0.00915193836557171
20260528_005,1,3,cka_ablated,0.8778579053205646
20260528_005,1,3,cka_delta_vs_baseline,-0.007805556385889867
20260528_006,-1,-1,baseline_cka,0.9537661977619398
20260528_006,0,0,cka_ablated,0.9635186526892449
20260528_006,0,0,cka_delta_vs_baseline,0.009752454927305032
20260528_006,0,1,cka_ablated,0.9617055526469634
20260528_006,0,1,cka_delta_vs_baseline,0.00793935488502362
20260528_006,0,2,cka_ablated,0.8970640274709993
20260528_006,0,2,cka_delta_vs_baseline,-0.05670217029094049
20260528_006,0,3,cka_ablated,0.9488896680318183
20260528_006,0,3,cka_delta_vs_baseline,-0.004876529730121537
20260528_006,1,0,cka_ablated,0.9536114163888855
20260528_006,1,0,cka_delta_vs_baseline,-0.0001547813730543579
20260528_006,1,1,cka_ablated,0.9493637213847733
20260528_006,1,1,cka_delta_vs_baseline,-0.004402476377166509
20260528_006,1,2,cka_ablated,0.9529381067470665
20260528_006,1,2,cka_delta_vs_baseline,-0.0008280910148733556
20260528_006,1,3,cka_ablated,0.9484717104284132
20260528_006,1,3,cka_delta_vs_baseline,-0.005294487333526665
20260528_007,-1,-1,baseline_cka,0.960991314713532
20260528_007,0,0,cka_ablated,0.9317343004145073
20260528_007,0,0,cka_delta_vs_baseline,-0.02925701429902472
20260528_007,0,1,cka_ablated,0.9593829126220411
20260528_007,0,1,cka_delta_vs_baseline,-0.0016084020914909347
20260528_007,0,2,cka_ablated,0.9557804197799554
20260528_007,0,2,cka_delta_vs_baseline,-0.005210894933576626
20260528_007,0,3,cka_ablated,0.9558506758504238
20260528_007,0,3,cka_delta_vs_baseline,-0.005140638863108227
20260528_007,1,0,cka_ablated,0.9550807576539375
20260528_007,1,0,cka_delta_vs_baseline,-0.0059105570595945345
20260528_007,1,1,cka_ablated,0.9593759774814732
20260528_007,1,1,cka_delta_vs_baseline,-0.0016153372320588666
20260528_007,1,2,cka_ablated,0.9553245229357287
20260528_007,1,2,cka_delta_vs_baseline,-0.005666791777803382
20260528_007,1,3,cka_ablated,0.9587868677436765
20260528_007,1,3,cka_delta_vs_baseline,-0.0022044469698555558
20260528_008,-1,-1,baseline_cka,0.9290250438684593
20260528_008,0,0,cka_ablated,0.9123990721605936
20260528_008,0,0,cka_delta_vs_baseline,-0.016625971707865728
20260528_008,0,1,cka_ablated,0.9343778749017007
20260528_008,0,1,cka_delta_vs_baseline,0.0053528310332413565
20260528_008,0,2,cka_ablated,0.8704594001908763
20260528_008,0,2,cka_delta_vs_baseline,-0.05856564367758299
20260528_008,0,3,cka_ablated,0.9552759819419884
20260528_008,0,3,cka_delta_vs_baseline,0.026250938073529073
20260528_008,1,0,cka_ablated,0.9251791282501003
20260528_008,1,0,cka_delta_vs_baseline,-0.003845915618359008
20260528_008,1,1,cka_ablated,0.9228202110534557
20260528_008,1,1,cka_delta_vs_baseline,-0.006204832815003614
20260528_008,1,2,cka_ablated,0.9246385443424817
20260528_008,1,2,cka_delta_vs_baseline,-0.004386499525977583
20260528_008,1,3,cka_ablated,0.9271637703288579
20260528_008,1,3,cka_delta_vs_baseline,-0.0018612735396014157
20260528_009,-1,-1,baseline_cka,0.894538428888233
20260528_009,0,0,cka_ablated,0.7954041664305246
20260528_009,0,0,cka_delta_vs_baseline,-0.0991342624577084
20260528_009,0,1,cka_ablated,0.8383519249795396
20260528_009,0,1,cka_delta_vs_baseline,-0.0561865039086934
20260528_009,0,2,cka_ablated,0.8979239795667351
20260528_009,0,2,cka_delta_vs_baseline,0.003385550678502103
20260528_009,0,3,cka_ablated,0.8666635575713925
20260528_009,0,3,cka_delta_vs_baseline,-0.02787487131684052
20260528_009,1,0,cka_ablated,0.8784383910594784
20260528_009,1,0,cka_delta_vs_baseline,-0.016100037828754576
20260528_009,1,1,cka_ablated,0.8875733053341025
20260528_009,1,1,cka_delta_vs_baseline,-0.006965123554130481
20260528_009,1,2,cka_ablated,0.9040422675378853
20260528_009,1,2,cka_delta_vs_baseline,0.009503838649652319
20260528_009,1,3,cka_ablated,0.8834562706187723
20260528_009,1,3,cka_delta_vs_baseline,-0.011082158269460685
20260528_010,-1,-1,baseline_cka,0.8991531256227856
