model,split,probe_subj_accuracy,probe_subj_f1,probe_subj_auroc,probe_sent_accuracy,probe_sent_f1,probe_sent_auroc,precision_at_5,cluster_ari,cluster_nmi,sign_flip_rate
B1,test,0.8834,0.8265,0.9468,0.8912,0.8401,0.9524,0.8328,0.0419,0.0245,
B1,hard_verb,0.5116,0.4134,0.3708,0.5163,0.4157,0.345,0.9349,0.0472,0.0326,
B1,hard_both,0.2029,0.0,0.0058,0.1739,0.0339,0.028,0.8725,0.0087,0.0016,
B1,ambiguous_test,0.546,0.393,0.5339,0.543,0.3902,0.5338,0.6366,0.0207,0.008,
B1,continuation,0.738,0.7277,0.7895,0.7469,0.7386,0.7951,0.7264,0.0326,0.0255,
B1,interpolation,0.7412,0.6578,0.7949,0.7764,0.712,0.7892,0.7191,0.0577,0.038,
B1,contrastive,,,,,,,,,,0.0
B2a,test,0.8978,0.8465,0.959,0.8965,0.8454,0.9571,0.8107,-0.0003,0.0008,
B2a,hard_verb,0.4791,0.3412,0.3362,0.4884,0.3678,0.3505,0.8856,-0.0032,0.0003,
B2a,hard_both,0.3188,0.0408,0.059,0.3188,0.0408,0.0484,0.7826,-0.0056,0.0017,
B2a,ambiguous_test,0.5876,0.4192,0.5809,0.5856,0.4225,0.5821,0.6953,-0.0,0.0001,
B2a,continuation,0.7569,0.7597,0.7821,0.7607,0.7625,0.7871,0.7229,-0.0011,0.0001,
B2a,interpolation,0.7538,0.6859,0.789,0.7513,0.6837,0.7914,0.7146,-0.0018,0.0001,
B2a,contrastive,,,,,,,,,,0.6897
B2b,test,0.886,0.8324,0.9532,0.8899,0.834,0.9572,0.8045,-0.0004,0.0007,
B2b,hard_verb,0.4977,0.3864,0.3517,0.4977,0.3933,0.3303,0.8763,-0.0032,0.0003,
B2b,hard_both,0.1594,0.0645,0.0387,0.2174,0.1,0.0435,0.7246,-0.0056,0.0017,
B2b,ambiguous_test,0.5772,0.4375,0.5642,0.5756,0.4353,0.5629,0.6913,-0.0,0.0001,
B2b,continuation,0.7758,0.7866,0.793,0.7796,0.7879,0.8033,0.7327,-0.0011,0.0001,
B2b,interpolation,0.7588,0.6923,0.7753,0.7563,0.6861,0.7962,0.7246,-0.0009,0.0006,
B2b,contrastive,,,,,,,,,,0.5862
B3,test,0.8834,0.8224,0.9459,0.9056,0.8599,0.9584,0.8236,0.0005,0.0007,
B3,hard_verb,0.507,0.3977,0.386,0.493,0.3911,0.3282,0.9414,-0.005,0.0001,
B3,hard_both,0.2754,0.0385,0.0716,0.2319,0.0364,0.0532,0.887,-0.0119,0.0,
B3,ambiguous_test,0.5822,0.412,0.5787,0.571,0.4138,0.5567,0.7036,0.0006,0.0019,
B3,continuation,0.767,0.7661,0.8068,0.7594,0.7633,0.7789,0.7431,-0.0003,0.0006,
B3,interpolation,0.7688,0.7013,0.7831,0.7638,0.6968,0.7872,0.7256,-0.0034,0.0016,
B3,contrastive,,,,,,,,,,0.4483
