model,split,probe_subj_accuracy,probe_subj_f1,probe_subj_auroc,probe_sent_accuracy,probe_sent_f1,probe_sent_auroc,precision_at_5,cluster_ari,cluster_nmi,sign_flip_rate
B1,test,0.8847,0.8268,0.9449,0.882,0.8295,0.9517,0.8252,0.0042,0.0003,
B1,hard_verb,0.5116,0.3636,0.4113,0.493,0.3771,0.3709,0.9098,0.1004,0.0674,
B1,hard_both,0.2899,0.0,0.0619,0.1594,0.0,0.0097,0.7507,-0.022,0.013,
B1,ambiguous_test,0.5712,0.3767,0.5515,0.5488,0.3899,0.5413,0.6354,0.0126,0.0015,
B1,continuation,0.7317,0.707,0.7986,0.7469,0.7366,0.7985,0.7327,0.0087,0.014,
B1,interpolation,0.7688,0.6849,0.8056,0.7588,0.6883,0.7889,0.7201,0.0433,0.0174,
B1,contrastive,,,,,,,,,,0.0
B2a,test,0.8925,0.8411,0.9589,0.882,0.8256,0.9559,0.8131,-0.0003,0.0008,
B2a,hard_verb,0.5116,0.4199,0.3436,0.5023,0.4088,0.3348,0.9395,-0.0032,0.0003,
B2a,hard_both,0.1014,0.0,0.0184,0.1014,0.0,0.0203,0.9043,-0.0056,0.0017,
B2a,ambiguous_test,0.5596,0.4122,0.5637,0.559,0.4112,0.5599,0.6891,-0.0,0.0001,
B2a,continuation,0.767,0.7752,0.7937,0.7645,0.7739,0.7863,0.735,-0.0011,0.0001,
B2a,interpolation,0.7538,0.6899,0.7835,0.7487,0.6835,0.7818,0.7266,-0.0018,0.0001,
B2a,contrastive,,,,,,,,,,0.4483
B2b,test,0.886,0.827,0.9542,0.8847,0.8261,0.9539,0.8107,-0.0003,0.0008,
B2b,hard_verb,0.493,0.3842,0.3823,0.5535,0.4667,0.3685,0.8865,-0.0032,0.0003,
B2b,hard_both,0.2319,0.0,0.0455,0.2029,0.0351,0.0397,0.7333,-0.0056,0.0017,
B2b,ambiguous_test,0.5798,0.4271,0.5767,0.5814,0.4261,0.5796,0.6896,-0.0,0.0001,
B2b,continuation,0.7846,0.7897,0.804,0.7846,0.7912,0.8073,0.7448,-0.0011,0.0001,
B2b,interpolation,0.7513,0.6877,0.7855,0.7739,0.7134,0.8,0.7261,-0.0018,0.0001,
B2b,contrastive,,,,,,,,,,0.4483
B3,test,0.8362,0.7465,0.9008,0.8873,0.8314,0.9533,0.7439,-0.0015,0.0001,
B3,hard_verb,0.6465,0.5366,0.6208,0.5814,0.4767,0.4355,0.8112,-0.0047,0.0002,
B3,hard_both,0.3913,0.125,0.1741,0.2899,0.1091,0.0861,0.7565,0.0023,0.0062,
B3,ambiguous_test,0.673,0.5141,0.6581,0.6048,0.4456,0.5879,0.6972,0.0033,0.0014,
B3,continuation,0.7985,0.8039,0.8338,0.7708,0.7753,0.8056,0.7383,-0.0011,0.0001,
B3,interpolation,0.7965,0.7362,0.8227,0.7839,0.7152,0.8116,0.708,0.0002,0.0018,
B3,contrastive,,,,,,,,,,0.4483
