model,split,probe_subj_accuracy,probe_subj_f1,probe_subj_auroc,probe_sent_accuracy,probe_sent_f1,probe_sent_auroc,precision_at_5,cluster_ari,cluster_nmi,sign_flip_rate
B1,test,0.8899,0.8353,0.9533,0.8886,0.8381,0.9549,0.8359,0.0153,0.0099,
B1,hard_verb,0.4651,0.3275,0.3361,0.5023,0.4022,0.3217,0.9721,-0.0042,0.0001,
B1,hard_both,0.1449,0.0,0.0126,0.1594,0.0333,0.0135,0.858,-0.0083,0.0019,
B1,ambiguous_test,0.545,0.3843,0.5284,0.5444,0.3964,0.5294,0.6363,0.0002,0.0016,
B1,continuation,0.7443,0.7332,0.7855,0.7519,0.7432,0.7846,0.7199,-0.0013,0.0,
B1,interpolation,0.7739,0.7059,0.7828,0.7789,0.7161,0.791,0.691,-0.0016,0.0003,
B1,contrastive,,,,,,,,,,0.0
B2a,test,0.8912,0.8369,0.9589,0.8873,0.8314,0.9582,0.8372,-0.0003,0.0008,
B2a,hard_verb,0.507,0.4176,0.321,0.507,0.4176,0.3226,0.986,-0.0032,0.0003,
B2a,hard_both,0.1884,0.0,0.0203,0.1739,0.0,0.0184,0.9594,-0.0056,0.0017,
B2a,ambiguous_test,0.5716,0.4236,0.5685,0.5752,0.4272,0.5693,0.668,-0.0,0.0001,
B2a,continuation,0.7746,0.7861,0.7716,0.7758,0.7881,0.7722,0.6932,-0.0011,0.0001,
B2a,interpolation,0.7714,0.7165,0.7774,0.7663,0.7066,0.774,0.7141,-0.0018,0.0001,
B2a,contrastive,,,,,,,,,,0.4138
B2b,test,0.882,0.8242,0.9447,0.882,0.8242,0.9394,0.7958,-0.0003,0.0008,
B2b,hard_verb,0.5628,0.4535,0.5015,0.5814,0.4944,0.5044,0.8986,-0.0032,0.0003,
B2b,hard_both,0.2319,0.0702,0.0522,0.1884,0.0345,0.0571,0.8145,-0.0056,0.0017,
B2b,ambiguous_test,0.599,0.4382,0.6072,0.5898,0.4323,0.6067,0.6767,-0.0,0.0001,
B2b,continuation,0.7821,0.7928,0.8009,0.772,0.7832,0.8042,0.7106,-0.0011,0.0001,
B2b,interpolation,0.7638,0.6908,0.7935,0.7764,0.712,0.793,0.7101,-0.0018,0.0001,
B2b,contrastive,,,,,,,,,,0.4483
B3,test,0.8702,0.8063,0.9374,0.8794,0.8189,0.9471,0.8142,-0.0003,0.0008,
B3,hard_verb,0.5209,0.3758,0.43,0.5256,0.407,0.3844,0.9228,-0.0032,0.0003,
B3,hard_both,0.2899,0.0,0.0803,0.2464,0.0,0.0184,0.8464,-0.0056,0.0017,
B3,ambiguous_test,0.6054,0.4412,0.5973,0.5866,0.4263,0.5797,0.6795,-0.0,0.0001,
B3,continuation,0.762,0.7658,0.8045,0.767,0.7736,0.8007,0.7219,-0.0011,0.0001,
B3,interpolation,0.7864,0.7231,0.8066,0.7739,0.7059,0.804,0.7055,-0.0018,0.0001,
B3,contrastive,,,,,,,,,,0.4483
