model,model_label,class,class_label,epoch,mean,std,lower,upper
Timeformer,Memory-Augmented Timeformer,drift,Drift,0,0.8358974358974359,0.058245213803079635,0.7776522220943562,0.8941426497005156
Timeformer,Memory-Augmented Timeformer,drift,Drift,1,0.7620689655172413,0.01243293543263447,0.7496360300846069,0.7745019009498758
Timeformer,Memory-Augmented Timeformer,drift,Drift,2,0.7303030303030303,0.02693392247671389,0.7033691078263165,0.7572369527797442
Timeformer,Memory-Augmented Timeformer,drift,Drift,3,0.736231884057971,0.04355066435164258,0.6926812197063285,0.7797825484096136
Timeformer,Memory-Augmented Timeformer,drift,Drift,4,0.5876543209876544,0.0334018500209103,0.554252470966744,0.6210561710085647
Timeformer,Memory-Augmented Timeformer,drift,Drift,5,0.4804597701149425,0.046306292134445266,0.43415347798049725,0.5267660622493878
Timeformer,Memory-Augmented Timeformer,drift,Drift,6,0.47160493827160493,0.02466047451288676,0.44694446375871816,0.4962654127844917
Timeformer,Memory-Augmented Timeformer,drift,Drift,7,0.36811594202898545,0.024722785665553578,0.3433931563634319,0.39283872769453904
Timeformer,Memory-Augmented Timeformer,drift,Drift,8,0.33218390804597697,0.01554913707869965,0.3166347709672773,0.3477330451246766
Timeformer,Memory-Augmented Timeformer,drift,Drift,9,0.26333333333333336,0.040414518843273815,0.22291881449005954,0.30374785217660716
Timeformer,Memory-Augmented Timeformer,stable,Stable,0,0.8101449275362319,0.026565656202642562,0.7835792713335894,0.8367105837388744
Timeformer,Memory-Augmented Timeformer,stable,Stable,1,0.7966666666666664,0.05291502622129179,0.7437516404453747,0.8495816928879582
Timeformer,Memory-Augmented Timeformer,stable,Stable,2,0.8320512820512821,0.03271115595428993,0.7993401260969921,0.8647624380055721
Timeformer,Memory-Augmented Timeformer,stable,Stable,3,0.7913043478260869,0.018951734537133263,0.7723526132889537,0.8102560823632202
Timeformer,Memory-Augmented Timeformer,stable,Stable,4,0.7486111111111112,0.0318234423260824,0.7167876687850289,0.7804345534371936
Timeformer,Memory-Augmented Timeformer,stable,Stable,5,0.7770114942528735,0.013936040980439074,0.7630754532724344,0.7909475352333126
Timeformer,Memory-Augmented Timeformer,stable,Stable,6,0.6964285714285715,0.03444160986068921,0.6619869615678823,0.7308701812892607
Timeformer,Memory-Augmented Timeformer,stable,Stable,7,0.7434782608695653,0.030122622740328304,0.713355638129237,0.7736008836098935
Timeformer,Memory-Augmented Timeformer,stable,Stable,8,0.6124999999999999,0.014433756729740633,0.5980662432702593,0.6269337567297406
Timeformer,Memory-Augmented Timeformer,stable,Stable,9,0.6575757575757576,0.054985597914012384,0.6025901596617452,0.71256135548977
