model,model_label,split,probe_subj_accuracy,probe_subj_f1,probe_subj_auroc,probe_sent_accuracy,probe_sent_f1,probe_sent_auroc,precision_at_5,cluster_ari,cluster_nmi,sign_flip_rate
Static,Static Transformer,test,0.8716,0.8056,0.9176,0.8755,0.8148,0.9349,0.7903,0.0038,0.0006,
Static,Static Transformer,hard_verb,0.5488,0.4393,0.4748,0.5116,0.4068,0.4192,0.8037,0.0844,0.0533,
Static,Static Transformer,hard_both,0.2464,0.0,0.0677,0.1884,0.0,0.0097,0.7449,-0.0082,0.0005,
Static,Static Transformer,ambiguous_test,0.582,0.4069,0.5571,0.5488,0.3795,0.5438,0.6339,0.0098,0.0013,
Static,Static Transformer,continuation,0.7355,0.7162,0.7924,0.738,0.7234,0.7874,0.736,0.0127,0.015,
Static,Static Transformer,interpolation,0.7839,0.7075,0.8311,0.7714,0.6957,0.8099,0.6874,0.0288,0.0133,
Static,Static Transformer,contrastive,,,,,,,,,,0.0
Additive,Additive Time-Conditioned Transformer,test,0.8965,0.8472,0.9621,0.9056,0.8605,0.963,0.8223,-0.0003,0.0008,
Additive,Additive Time-Conditioned Transformer,hard_verb,0.4884,0.4022,0.3256,0.493,0.4108,0.3199,0.934,-0.0032,0.0003,
Additive,Additive Time-Conditioned Transformer,hard_both,0.2174,0.0,0.0261,0.2174,0.0,0.0261,0.7884,-0.0056,0.0017,
Additive,Additive Time-Conditioned Transformer,ambiguous_test,0.569,0.4249,0.5677,0.5686,0.4222,0.5629,0.6787,-0.0,0.0001,
Additive,Additive Time-Conditioned Transformer,continuation,0.772,0.7888,0.7919,0.7758,0.7896,0.7923,0.702,-0.0011,0.0001,
Additive,Additive Time-Conditioned Transformer,interpolation,0.7714,0.7074,0.7943,0.7613,0.6945,0.7871,0.704,-0.0018,0.0001,
Additive,Additive Time-Conditioned Transformer,contrastive,,,,,,,,,,0.5862
Joint,Token-Time Transformer,test,0.8768,0.8157,0.9372,0.8729,0.8131,0.9429,0.7528,-0.0024,0.0003,
Joint,Token-Time Transformer,hard_verb,0.5535,0.4146,0.4549,0.5767,0.4916,0.4459,0.8121,0.0017,0.0046,
Joint,Token-Time Transformer,hard_both,0.3043,0.0,0.1712,0.3043,0.0769,0.1615,0.7072,-0.0128,0.0001,
Joint,Token-Time Transformer,ambiguous_test,0.622,0.4664,0.6045,0.5892,0.4418,0.5918,0.6882,0.0013,0.0002,
Joint,Token-Time Transformer,continuation,0.762,0.7692,0.795,0.7683,0.774,0.7945,0.7322,0.0008,0.0012,
Joint,Token-Time Transformer,interpolation,0.7814,0.7203,0.8066,0.7538,0.6755,0.7889,0.6905,-0.0024,0.0001,
Joint,Token-Time Transformer,contrastive,,,,,,,,,,0.4483
Timeformer,Memory-Augmented Timeformer,test,0.8847,0.8268,0.9513,0.8886,0.8337,0.9568,0.8168,0.0002,0.0005,
Timeformer,Memory-Augmented Timeformer,hard_verb,0.5209,0.4046,0.3666,0.5163,0.4468,0.3204,0.9265,0.0042,0.0035,
Timeformer,Memory-Augmented Timeformer,hard_both,0.2464,0.0714,0.0716,0.1159,0.0317,0.0406,0.7333,0.0037,0.0034,
Timeformer,Memory-Augmented Timeformer,ambiguous_test,0.6048,0.4625,0.5774,0.5736,0.4431,0.5692,0.6832,-0.0004,0.0002,
Timeformer,Memory-Augmented Timeformer,continuation,0.7746,0.7906,0.779,0.7708,0.7849,0.7859,0.7247,-0.0013,0.0001,
Timeformer,Memory-Augmented Timeformer,interpolation,0.7889,0.7325,0.7892,0.7688,0.7212,0.7879,0.7085,-0.0012,0.0003,
Timeformer,Memory-Augmented Timeformer,contrastive,,,,,,,,,,0.4483
